poi_a,poi_b,name_a,name_b,category_a,category_b,itinerary_category_a,itinerary_category_b,latitude_a,longitude_a,latitude_b,longitude_b,distance_m,name_similarity,same_itinerary_category,decision
HYD004230,HYD004389,Armani Exchange,Manyavar,clothes,clothes,Shopping,Shopping,17.419413,78.4483258,17.4195556,78.4485583,29.355,0.348,True,Likely Distinct
HYD004216,HYD004389,AND,Manyavar,clothes,clothes,Shopping,Shopping,17.4197582,78.4483813,17.4195556,78.4485583,29.361,0.364,True,Likely Distinct
HYD005813,HYD035291,Ganesh Food Court,Reliance Fresh,fast_food,supermarket,Food,Shopping,17.4994535,78.5113986,17.4997156,78.511367,29.369,0.323,False,Likely Distinct
HYD009344,HYD035099,BIBA,DMart,mall,supermarket,Shopping,Shopping,17.3997763,78.5551043,17.4000389,78.5550753,29.394,0.222,True,Likely Distinct
HYD001747,HYD034698,Kishore Kumar Chicken & Mutton Center,Shoe Khazana,butcher,shoes,Food,Shopping,17.4406073,78.3931213,17.4406949,78.3928601,29.405,0.34,False,Likely Distinct
HYD032375,HYD035692,"Sai Baba Temple, Gudimalkapur",Raavi (Peepal) and Vepa (Neem) tree,place_of_worship,tree,Religion,Nature & Outdoors,17.386312649999997,78.43967019999998,17.3865298,78.4398279,29.409,0.305,False,Likely Distinct
HYD008924,HYD033819,Raghavendra Hotel,Savage Chinese and American Bistroo,hotel,restaurant,Accommodation,Food,17.3309848,78.5701323,17.3309905,78.5704094,29.437,0.385,False,Likely Distinct
HYD008767,HYD008903,Aditya inn,POT POURRI,hotel,hotel,Accommodation,Accommodation,17.443152,78.3545533,17.442993,78.3547748,29.44,0.1,True,Likely Distinct
HYD001829,HYD009029,Cafe Coffee Day,Cream stone,cafe,ice_cream,Food,Food,17.442773,78.3556843,17.4428929,78.3554372,29.443,0.231,True,Likely Distinct
HYD000684,HYD006049,Yoki bakery,Fitness 9,bakery,fitness_centre,Food,Recreation & Sports,17.362196,78.526284,17.3620883,78.5260307,29.453,0.2,False,Likely Distinct
HYD005079,HYD005861,mithai wala,KFC,confectionery,fast_food,Food,Food,17.36769742,78.54034734,17.36770512,78.54062456,29.455,0.0,True,Likely Distinct
HYD003729,HYD003810,Arjun Theatre,Shiva Parvathi,cinema,cinema,Entertainment,Entertainment,17.496871759999998,78.39698546,17.4966072,78.39699183333333,29.459,0.296,True,Likely Distinct
HYD004301,HYD032715,Fllow me,laxmi ganapathi temple,clothes,place_of_worship,Shopping,Religion,17.4074821,78.4948408,17.4076888,78.4950146,29.499,0.2,False,Likely Distinct
HYD005749,HYD033555,Currry Point,Lucky Arabian Mandi,fast_food,restaurant,Food,Food,17.420248,78.5163985,17.4201515,78.5166572,29.501,0.323,True,Likely Distinct
HYD004419,HYD005696,Nike,Burger King,clothes,fast_food,Shopping,Food,17.4191943,78.4484167,17.4191639,78.4486928,29.518,0.133,False,Likely Distinct
HYD006215,HYD006220,Pan Mahal,Rajkamal Sweet Store,food_court,food_court,Food,Food,17.474523,78.5682993,17.4743024,78.5684538,29.535,0.276,True,Likely Distinct
HYD004220,HYD009419,Aisha's Garments Shop,Reliance trends,clothes,mall,Shopping,Shopping,17.3986841,78.449237,17.3985257,78.4494604,29.561,0.333,True,Likely Distinct
HYD000124,HYD005316,Anand Home Appliances,Bharat Military & Department Stores,appliance,department_store,Shopping,Shopping,17.4788816,78.5136125,17.4788777,78.5138911,29.592,0.296,True,Likely Distinct
HYD003727,HYD033410,Aradhana Theatre,Goodlands,cinema,restaurant,Entertainment,Food,17.4250205,78.5332669,17.4252697,78.5331698,29.596,0.24,False,Likely Distinct
HYD001855,HYD005834,Chai Point,Jntu Canteen,cafe,fast_food,Food,Food,17.4943681,78.3927001,17.4941428,78.3928481,29.599,0.182,True,Likely Distinct
HYD033968,HYD033982,United Kitchen,Vibrant Living,restaurant,restaurant,Food,Food,17.2356685,78.4343247,17.2354087,78.4342652,29.603,0.286,True,Likely Distinct
HYD000608,HYD009416,Karachi Bakery,Reliance Trends,bakery,mall,Food,Shopping,17.4993387,78.4766368,17.4995842,78.4767441,29.61,0.207,False,Likely Distinct
HYD005505,HYD009396,CeX,Next Galleria Mall,electronics,mall,Shopping,Shopping,17.4210662,78.4553392,17.420802436363637,78.45530285454545,29.615,0.19,True,Likely Distinct
HYD001978,HYD035692,Santhi Bakers,Raavi (Peepal) and Vepa (Neem) tree,cafe,tree,Food,Nature & Outdoors,17.3863828,78.4400604,17.3865298,78.4398279,29.623,0.182,False,Likely Distinct
HYD008644,HYD008674,New Star Deluxe Mens Hostel,Shivamani Ladies Hostel,hostel,hostel,Accommodation,Accommodation,17.4428001,78.3865419,17.4430165,78.3863794,29.634,0.4,True,Likely Distinct
HYD030996,HYD031105,Huda Colony Walkers Association,Prof. Jayashankar tree Park,park,park,Nature & Outdoors,Nature & Outdoors,17.488864485714288,78.33007577142858,17.4885984,78.3300672,29.635,0.211,True,Likely Distinct
HYD006624,HYD033585,RoyalHook Furniture,Mandi,furniture,restaurant,Shopping,Food,17.476428,78.5667039,17.4764234,78.566983,29.647,0.25,False,Likely Distinct
HYD005871,HYD008915,Krishna Reddy Sweets,Pista House,fast_food,hotel,Food,Accommodation,17.4061656,78.5557108,17.4059506,78.5558757,29.657,0.323,False,Likely Distinct
HYD005667,HYD035407,vijaya fancy store,gayathri pooja store,fashion_accessories,supermarket,Shopping,Shopping,17.3304768,78.5768552,17.3304948,78.5765763,29.689,0.579,True,Likely Distinct
HYD001772,HYD035276,Sneha cheken shop,Reddy super mart,butcher,supermarket,Food,Shopping,17.3964562,78.5032786,17.3962766,78.5034854,29.701,0.242,False,Likely Distinct
HYD001640,HYD033367,venkateshwara book store,Eat in peace,books,restaurant,Shopping,Food,17.3670948,78.521475,17.3670508,78.5217509,29.709,0.333,False,Likely Distinct
HYD004290,HYD034061,Denim,midhunam Resturant,clothes,restaurant,Shopping,Food,17.4745027,78.5683207,17.4742826,78.5684789,29.709,0.261,False,Likely Distinct
HYD004480,HYD006007,Sailaja clothing store,hot chips,clothes,fast_food,Shopping,Food,17.4735692,78.5509038,17.4734433,78.5506571,29.714,0.323,False,Likely Distinct
HYD003767,HYD009339,Movie Max,AMR Planet,cinema,mall,Entertainment,Shopping,17.4633897,78.5604988,17.46329596,78.56023678,29.721,0.211,False,Likely Distinct
HYD006096,HYD035943,The Gym 365 Hyderabad,Croma,fitness_centre,variety_store,Recreation & Sports,Shopping,17.4829122,78.4145632,17.4829953,78.414297,29.747,0.154,False,Likely Distinct
HYD007018,HYD032849,Laxmi Hardware,مسجد کیشوری بیگم صاحبہ,hardware,place_of_worship,Shopping,Religion,17.4101907,78.5565621,17.41020108,78.55684206000001,29.756,0.0,False,Likely Distinct
HYD005565,HYD009113,TMC,Boorugu Jewellers,electronics,jewelry,Shopping,Shopping,17.4442192,78.4686789,17.4442649,78.4684028,29.762,0.0,True,Likely Distinct
HYD008829,HYD008901,Hotel Pearl Regency,Oyo Town House,hotel,hotel,Accommodation,Accommodation,17.40256678,78.46311928,17.4028242,78.4630434,29.768,0.182,True,Likely Distinct
HYD008930,HYD033198,Royal Plaza Hotel,Angaara5 Restaurant,hotel,restaurant,Accommodation,Food,17.3913246,78.4654418,17.3915423,78.4652788,29.783,0.333,False,Likely Distinct
HYD003751,HYD034665,INOX Cinema,Bata,cinema,shoes,Entertainment,Shopping,17.418803,78.4484007,17.4190061,78.4485833,29.787,0.133,False,Likely Distinct
HYD005856,HYD009360,KFC,Cine Polis,fast_food,mall,Food,Shopping,17.4002412,78.555159,17.400037779999998,78.55497666,29.796,0.154,False,Likely Distinct
HYD005205,HYD033281,Himalaya,Brickwood Pizza,cosmetics,restaurant,Shopping,Food,17.4411015,78.3886407,17.4412922,78.3884437,29.806,0.174,False,Likely Distinct
HYD006261,HYD035130,chitrapuri water fountain,General store,fountain,supermarket,Nature & Outdoors,Shopping,17.415947820000003,78.3778527,17.415680000000002,78.37785288,29.814,0.211,False,Likely Distinct
HYD031646,HYD031651,BHEL Basketball Court,BHEL Volleyball Court,pitch,pitch,Recreation & Sports,Recreation & Sports,17.49399002,78.30486033999999,17.494071,78.30512796000001,29.818,0.762,True,Likely Distinct
HYD007016,HYD009003,Bharat Electricals,sankranthi,hardware,hotel,Shopping,Accommodation,17.4970246,78.3622579,17.4970879,78.3619851,29.818,0.357,False,Likely Distinct
HYD004367,HYD034665,Levi's,Bata,clothes,shoes,Shopping,Shopping,17.4189423,78.448856,17.4190061,78.4485833,29.821,0.0,True,Likely Distinct
HYD005074,HYD034844,Vasireddy Swagruha Foods - Ruchi Caterers,Padma's Passion Street,confectionery,stationery,Food,Shopping,17.4970934,78.3594826,17.4969107,78.359277,29.841,0.197,False,Likely Distinct
HYD004510,HYD005894,Suits Studio,McDonald's,clothes,fast_food,Shopping,Food,17.4265912,78.453174,17.4263366,78.4530858,29.85,0.182,False,Likely Distinct
HYD001917,HYD006830,Jalakanya Hotel,Vegetable shop,cafe,greengrocer,Food,Food,17.5043639,78.415797,17.5041556,78.4156197,29.871,0.345,True,Likely Distinct
HYD003783,HYD004386,Pvr Nexus mall,Mango,cinema,clothes,Entertainment,Shopping,17.4844074,78.3889568,17.4846293,78.3891151,29.881,0.211,False,Likely Distinct
HYD004302,HYD005848,Flying Machine,KFC,clothes,fast_food,Shopping,Food,17.4190213,78.448413,17.4188116,78.4485887,29.886,0.235,False,Likely Distinct
HYD008946,HYD035254,Sri Krishna Residency,Ratnadeep Super Market,hotel,supermarket,Accommodation,Shopping,17.4419662,78.4460383,17.4417042,78.4459759,29.909,0.233,False,Likely Distinct
HYD001904,HYD006236,Hina J.K Point,Tiffin Center,cafe,food_court,Food,Food,17.4557125,78.4091484,17.4559536,78.4090237,29.929,0.37,True,Likely Distinct
HYD033401,HYD034653,Goa grillz,Fish kart,restaurant,seafood,Food,Food,17.397361,78.3776389,17.3971137,78.3777496,29.935,0.211,True,Likely Distinct
HYD001601,HYD004242,Crossword,Biba,books,clothes,Shopping,Shopping,17.4193842,78.4484056,17.419613,78.4482575,29.935,0.0,True,Likely Distinct
HYD001918,HYD003791,Joy cafe,SVC Cinemas,cafe,cinema,Food,Entertainment,17.36974252,78.5397904,17.3694742,78.5397713,29.938,0.316,False,Likely Distinct
HYD004509,HYD034842,Subham Trendy,Narsing Stamps & Zerox,clothes,stationery,Shopping,Shopping,17.4739304,78.5689747,17.4738114,78.5692275,29.939,0.303,True,Likely Distinct
HYD001601,HYD004413,Crossword,Neerus,books,clothes,Shopping,Shopping,17.4193842,78.4484056,17.4191213,78.4483461,29.941,0.267,True,Likely Distinct
HYD005886,HYD008911,McDonald's,Paradise,fast_food,hotel,Food,Accommodation,17.4929465,78.4042926,17.4931834,78.4044261,29.942,0.222,False,Likely Distinct
HYD004276,HYD033556,Chennis,Lucky Restaurant,clothes,restaurant,Shopping,Food,17.4404387,78.3932958,17.4406202,78.3930877,29.945,0.261,False,Likely Distinct
HYD004317,HYD035157,Hyderabad Central,Hometown,clothes,supermarket,Shopping,Shopping,17.4270521,78.4533217,17.4271176,78.4530481,29.959,0.24,True,Likely Distinct
HYD000193,HYD006165,Maharana Pratap statue,Marvadi tiffin centre,artwork,food,Culture & Heritage,Food,17.3713735,78.4695435,17.3715079,78.4697879,29.96,0.233,False,Likely Distinct
HYD005552,HYD007029,Rithwika Air Cooler Mela,Skoda Showroom,electronics,hardware,Shopping,Shopping,17.4766206,78.5654167,17.4766004,78.5651354,29.961,0.368,True,Likely Distinct
HYD033871,HYD033964,Sri Sai Venkateshwara Hotel,Udupi Vihar,restaurant,restaurant,Food,Food,17.4415454,78.3912131,17.4412938,78.3913136,29.973,0.316,True,Likely Distinct
HYD001574,HYD033273,paradise,Blue Fox Restaurant,beverages,restaurant,Food,Food,17.4009802,78.4856317,17.4009655,78.4853499,29.974,0.222,True,Likely Distinct
HYD003751,HYD004215,INOX Cinema,AEROPOSTAL,cinema,clothes,Entertainment,Shopping,17.418803,78.4484007,17.4190714,78.4483781,29.975,0.19,False,Likely Distinct
HYD009170,HYD034812,Shubhlaxmi Jewellers,Adithi Goi,jewelry,stationery,Shopping,Shopping,17.47819,78.5604151,17.4781102,78.5606847,29.98,0.2,True,Likely Distinct
HYD005975,HYD033293,Taco Bell,California Burrito - Next Galleria Mall,fast_food,restaurant,Food,Food,17.4289831,78.4503798,17.4287289,78.4502863,29.989,0.261,True,Likely Distinct
HYD004387,HYD004528,Manoj,Trendz,clothes,clothes,Shopping,Shopping,17.473635,78.5697316,17.4737158,78.5694622,29.993,0.182,True,Likely Distinct
HYD005933,HYD035140,San's Pizza Den,Heritage Fresh,fast_food,supermarket,Food,Shopping,17.4402511,78.4820918,17.4401842,78.4818181,30.008,0.069,False,Likely Distinct
HYD005147,HYD009124,Milk shop,Gold and silver jewlery store,convenience,jewelry,Shopping,Shopping,17.3715129,78.4696086,17.3716805,78.4698299,30.009,0.263,True,Likely Distinct
HYD006103,HYD007032,Yogi Fitness Club,Sri Ram Home Solutions,fitness_centre,hardware,Recreation & Sports,Shopping,17.422265,78.5167513,17.4225218,78.5166651,30.017,0.308,False,Likely Distinct
HYD004260,HYD034823,Bull Jeans Co,G-Square,clothes,stationery,Shopping,Shopping,17.4741667,78.5686307,17.4740039,78.568856,30.017,0.19,True,Likely Distinct
HYD004234,HYD006629,BIBA Clothes,Sri Nakoda,clothes,furniture,Shopping,Shopping,17.4782969,78.5602636,17.4783622,78.5599893,30.026,0.273,True,Likely Distinct
HYD004213,HYD004361,4G Colons,Laasya,clothes,clothes,Shopping,Shopping,17.4780702,78.5607571,17.4781719,78.5604949,30.061,0.267,True,Likely Distinct
HYD005233,HYD005645,Dodla Dairy Limited,Anjuna fabrics,dairy,fabric,Food,Shopping,17.400224,78.382965,17.4001341,78.3832319,30.061,0.242,False,Likely Distinct
HYD032349,HYD033758,Sai  Baba Temple,Ratna pure veg,place_of_worship,restaurant,Religion,Food,17.4737191,78.5709784,17.4738785,78.5707499,30.063,0.345,False,Likely Distinct
HYD004542,HYD005196,Victoria's Secret,Bath & Body Works,clothes,cosmetics,Shopping,Shopping,17.483912,78.3891498,17.4836469,78.3890946,30.088,0.25,True,Likely Distinct
HYD005967,HYD009384,Subway,Lulu Mall,fast_food,mall,Food,Shopping,17.4901001,78.3927901,17.490053560000003,78.39306922,30.094,0.267,False,Likely Distinct
HYD001613,HYD005536,Pallavi,Pavan Mobiles,books,electronics,Shopping,Shopping,17.4736902,78.5695416,17.4736157,78.5698141,30.106,0.3,True,Likely Distinct
HYD004307,HYD004490,Glitz,She Trends,clothes,clothes,Shopping,Shopping,17.4782048,78.5604178,17.4783107,78.5601569,30.113,0.133,True,Likely Distinct
HYD031846,HYD034693,Bethany M.B Church,Mahadev Footwear,place_of_worship,shoes,Religion,Shopping,17.3699497,78.4779176,17.3696995,78.4780254,30.114,0.235,False,Likely Distinct
HYD004307,HYD004458,Glitz,Rekha Fashions,clothes,clothes,Shopping,Shopping,17.4782048,78.5604178,17.4783026,78.5601533,30.128,0.105,True,Likely Distinct
HYD002036,HYD005219,arch cafe,healthy glow,cafe,cosmetics,Food,Shopping,17.3612924,78.544728,17.3611008,78.5445275,30.139,0.286,False,Likely Distinct
HYD004367,HYD005696,Levi's,Burger King,clothes,fast_food,Shopping,Food,17.4189423,78.448856,17.4191639,78.4486928,30.149,0.235,False,Likely Distinct
HYD004473,HYD008912,Rukmini,Park Continental Hotel,clothes,hotel,Shopping,Accommodation,17.3991145,78.4489446,17.3992892,78.4487276,30.156,0.276,False,Likely Distinct
HYD033297,HYD033371,Casa Restaurant,Ellipaya Karam Express,restaurant,restaurant,Food,Food,17.4262675,78.3294732,17.4261967,78.3291991,30.159,0.324,True,Likely Distinct
HYD008765,HYD033817,Aditya Hometel,Saudi Arebian restaurant,hotel,restaurant,Accommodation,Food,17.4381698,78.4484662,17.4384384,78.4485033,30.159,0.316,False,Likely Distinct
HYD033390,HYD033979,Frenchie,Vennela Fast Food,restaurant,restaurant,Food,Food,17.4736979,78.5695148,17.4737993,78.5692513,30.176,0.24,True,Likely Distinct
HYD004573,HYD008772,chennai silks,Apoorva mess,clothes,hotel,Shopping,Accommodation,17.3945145,78.4379611,17.3946565,78.437719,30.183,0.24,False,Likely Distinct
HYD005884,HYD009384,McDonald's,Lulu Mall,fast_food,mall,Food,Shopping,17.4901654,78.3928103,17.490053560000003,78.39306922,30.186,0.316,False,Likely Distinct
HYD004296,HYD004456,Fabindia,Reebok,clothes,clothes,Shopping,Shopping,17.4195286,78.4482999,17.4192648,78.4483659,30.191,0.143,True,Likely Distinct
HYD000631,HYD008640,New Bangalore Iyenger Bakery,Narayana Junior College Hostel,bakery,hostel,Food,Accommodation,17.3715784,78.54082598,17.3718183,78.5406932,30.2,0.31,False,Likely Distinct
HYD006183,HYD006199,Chai Ki Bandi,Food Court,food_court,food_court,Food,Food,17.4943808,78.3926954,17.4941211,78.392778,30.212,0.087,True,Likely Distinct
HYD033151,HYD036148,4 Seasons,World Of Titan,restaurant,watches,Food,Shopping,17.4345566,78.3864346,17.4342904,78.3864905,30.222,0.261,False,Likely Distinct
HYD000212,HYD006804,Saraswati Statue,Panda Punaiah Square,artwork,grassland,Culture & Heritage,Nature & Outdoors,17.538323,78.3847786,17.53805192222222,78.38476029999998,30.239,0.222,False,Likely Distinct
HYD004307,HYD034812,Glitz,Adithi Goi,clothes,stationery,Shopping,Shopping,17.4782048,78.5604178,17.4781102,78.5606847,30.24,0.267,True,Likely Distinct
HYD004548,HYD004554,Westside,Zara,clothes,clothes,Shopping,Shopping,17.4845354,78.3886403,17.4845454,78.388925,30.258,0.0,True,Likely Distinct
HYD008767,HYD035228,Aditya inn,RATNADEEP,hotel,supermarket,Accommodation,Shopping,17.443152,78.3545533,17.4431249,78.3548368,30.26,0.211,False,Likely Distinct
HYD009133,HYD035356,KAMAL jewellers,Stationary shop,jewelry,supermarket,Shopping,Shopping,17.4736645,78.5509356,17.4735119,78.5506998,30.261,0.267,True,Likely Distinct
HYD004511,HYD006229,Sumanoharam,Spot Food Court,clothes,food_court,Shopping,Food,17.4427763,78.3907592,17.4430451,78.3908019,30.265,0.231,False,Likely Distinct
HYD030850,HYD033154,A-B,ABC,park,restaurant,Nature & Outdoors,Food,17.311903655555554,78.5195160888889,17.3117508,78.5192804,30.268,0.667,False,Likely Distinct
HYD009418,HYD035099,Reliance Trends _ Mens /Womens/ Kids,DMart,mall,supermarket,Shopping,Shopping,17.4003061,78.5551284,17.4000389,78.5550753,30.275,0.108,True,Likely Distinct
HYD003779,HYD005887,Prasads Imax,McDonald's,cinema,fast_food,Entertainment,Food,17.4127019,78.4657508,17.4125296,78.4655302,30.279,0.182,False,Likely Distinct
HYD004235,HYD033470,Babyhug Kids store,Hotel Swagath grand,clothes,restaurant,Shopping,Food,17.4767059,78.5642416,17.4767264,78.5639573,30.281,0.27,False,Likely Distinct
HYD004430,HYD005216,Pepe Jeans,The Body Shop,clothes,cosmetics,Shopping,Shopping,17.4190828,78.4485194,17.4192461,78.4482913,30.288,0.261,True,Likely Distinct
HYD000706,HYD031922,Five star pad band,Eidgah E Maqdum Nagar,bandstand,place_of_worship,Entertainment,Religion,17.5040056,78.4298749,17.5037334,78.42988,30.306,0.256,False,Likely Distinct
HYD032610,HYD032655,Uppalamma devi temple,Yellamma Pochamma Temple,place_of_worship,place_of_worship,Religion,Religion,17.4059258,78.4851104,17.405873,78.4853905,30.324,0.578,True,Likely Distinct
HYD005510,HYD006108,Cromā,cult.fit,electronics,fitness_centre,Shopping,Recreation & Sports,17.4559468,78.4345642,17.4560802,78.4348133,30.339,0.167,False,Likely Distinct
HYD000617,HYD035521,Laxmi Pathi Bakery,Lakshmi tea point,bakery,tea,Food,Food,17.401295,78.570875,17.4013406,78.5711567,30.346,0.4,True,Likely Distinct
HYD003750,HYD035367,INOX,United Colors of Benetton,cinema,supermarket,Entertainment,Shopping,17.4195272,78.4486519,17.4197297,78.4484606,30.347,0.207,False,Likely Distinct
HYD004257,HYD004499,Brand Yuva Mens Wear,Sree Mokshalakshmi Sarees Centre,clothes,clothes,Shopping,Shopping,17.4201331,78.5656665,17.4199412,78.5654635,30.351,0.231,True,Likely Distinct
HYD005527,HYD006593,Opus,FWd Furniture,electronics,furniture,Shopping,Shopping,17.4764696,78.5667689,17.4764987,78.5664846,30.368,0.118,True,Likely Distinct
HYD004427,HYD034108,Pantalons,لکی ریسٹورانٹ,clothes,restaurant,Shopping,Food,17.365756260000005,78.55745465999999,17.3654886,78.5575099,30.368,0.0,False,Likely Distinct
HYD006155,HYD031983,Flower Street Market,Hanuman Temple,florist,place_of_worship,Shopping,Religion,17.3831246,78.4779558,17.3833236,78.4781514,30.369,0.176,False,Likely Distinct
HYD005508,HYD008917,Croma,Purple Leaf,electronics,hotel,Shopping,Accommodation,17.45872,78.5004357,17.458973,78.5003286,30.374,0.25,False,Likely Distinct
HYD001915,HYD005802,JNTU - Canteen,Fast Food,cafe,fast_food,Food,Food,17.49423298,78.39277104,17.4939601,78.3927698,30.377,0.19,True,Likely Distinct
HYD033442,HYD033942,Hideout,Thurum Khan Restaurant,restaurant,restaurant,Food,Food,17.4402073,78.3933547,17.4404015,78.3935559,30.397,0.276,True,Likely Distinct
HYD033979,HYD034818,Vennela Fast Food,Bisleri,restaurant,stationery,Food,Shopping,17.4737993,78.5692513,17.473918,78.5689935,30.402,0.083,False,Likely Distinct
HYD004393,HYD033433,Marks & Spencers,Hard Rock Cafe,clothes,restaurant,Shopping,Food,17.4188529,78.4488523,17.418702,78.4486137,30.403,0.357,False,Likely Distinct
HYD005951,HYD006661,Sri Venkateshwara Tiffins,Rose Garden,fast_food,garden,Food,Nature & Outdoors,17.4047129,78.4645359,17.404932957142858,78.46436605714287,30.422,0.222,False,Likely Distinct
HYD030985,HYD030986,HMT Lake Park,HMT park,park,park,Nature & Outdoors,Nature & Outdoors,17.42237332941177,78.55007518235293,17.4223412,78.5497907,30.425,0.762,True,Likely Distinct
HYD035155,HYD035290,Heritage fresh,Reliance Fresh,supermarket,supermarket,Shopping,Shopping,17.4003475,78.3817304,17.4000868,78.3818165,30.428,0.714,True,Likely Distinct
HYD000539,HYD033326,Big Byte,Country Oven,bakery,restaurant,Food,Food,17.4302997,78.4384308,17.430376419999998,78.43815576,30.434,0.2,True,Likely Distinct
HYD004348,HYD005247,Keshav Collections,Mukunda Dairy Products,clothes,dairy,Shopping,Food,17.4198475,78.5655163,17.4200383,78.565311,30.439,0.35,False,Likely Distinct
HYD001994,HYD004413,Starbucks,Neerus,cafe,clothes,Food,Shopping,17.4193666,78.4482191,17.4191213,78.4483461,30.456,0.133,False,Likely Distinct
HYD004387,HYD033520,Manoj,Kings Briyani,clothes,restaurant,Shopping,Food,17.473635,78.5697316,17.4737587,78.5694756,30.477,0.222,False,Likely Distinct
HYD002013,HYD005803,The Study Sip,Fast Food,cafe,fast_food,Food,Food,17.4943481,78.3930671,17.494254,78.3927976,30.479,0.273,True,Likely Distinct
HYD003782,HYD005352,Pvr Cinemas,Shoppers Stop,cinema,department_store,Entertainment,Shopping,17.4351644,78.3867947,17.4349673,78.3869939,30.48,0.333,False,Likely Distinct
HYD008806,HYD008906,Green Wood Villa,Palm Villa,hotel,hotel,Accommodation,Accommodation,17.390310919999997,78.3162158,17.390227144444445,78.31648906666668,30.484,0.462,True,Likely Distinct
HYD004413,HYD009369,Neerus,GVK One,clothes,mall,Shopping,Shopping,17.4191213,78.4483461,17.41924682058823,78.44860120882353,30.485,0.308,True,Likely Distinct
HYD033338,HYD034049,Delicious Dosa,kaveri curry point,restaurant,restaurant,Food,Food,17.3646765,78.5259001,17.3648864,78.5257157,30.488,0.25,True,Likely Distinct
HYD001629,HYD001979,Universal book depot,Sarvi Hotel,books,cafe,Shopping,Food,17.3944731,78.4395206,17.3944202,78.4398023,30.493,0.323,False,Likely Distinct
HYD001985,HYD034011,Sikander Irani Tea And Snacks Point,al-saba restaurant,cafe,restaurant,Food,Food,17.4377802,78.4401942,17.437778546666667,78.43990706666668,30.496,0.264,True,Likely Distinct
HYD004458,HYD009170,Rekha Fashions,Shubhlaxmi Jewellers,clothes,jewelry,Shopping,Shopping,17.4783026,78.5601533,17.47819,78.5604151,30.5,0.235,True,Likely Distinct
HYD009191,HYD035406,balaji,d mart,jewelry,supermarket,Shopping,Shopping,17.3294097,78.5801994,17.3294747,78.5799204,30.502,0.167,True,Likely Distinct
HYD005557,HYD032715,Samsung,laxmi ganapathi temple,electronics,place_of_worship,Shopping,Religion,17.4074908,78.494816,17.4076888,78.4950146,30.508,0.207,False,Likely Distinct
HYD032100,HYD032592,Kanaka Durga Temple,Temple,place_of_worship,place_of_worship,Religion,Religion,17.3688036,78.5258281,17.3690281,78.525993,30.517,0.48,True,Likely Distinct
HYD001766,HYD007037,Sheep Butcher,Vasantha enterprises,butcher,hardware,Food,Shopping,17.4318633,78.4261837,17.4319581,78.425914,30.526,0.364,False,Likely Distinct
HYD005483,HYD034834,Ajay mobiles,Lucky Gaming Zone,electronics,stationery,Shopping,Shopping,17.4736829,78.569661,17.4737465,78.5693814,30.528,0.345,True,Likely Distinct
HYD005806,HYD005821,Fast food and tiffin center,Hot chips,fast_food,fast_food,Food,Food,17.4321538,78.4258487,17.4322302,78.4255726,30.532,0.167,True,Likely Distinct
HYD005850,HYD009139,KFC,Krishna Jewellers Pearls & Gems,fast_food,jewelry,Food,Shopping,17.4348714,78.3870327,17.4347076,78.3868021,30.534,0.062,False,Likely Distinct
HYD004490,HYD009170,She Trends,Shubhlaxmi Jewellers,clothes,jewelry,Shopping,Shopping,17.4783107,78.5601569,17.47819,78.5604151,30.537,0.333,True,Likely Distinct
HYD000193,HYD032144,Maharana Pratap statue,Mahakali mata temple,artwork,place_of_worship,Culture & Heritage,Religion,17.3713735,78.4695435,17.3714622,78.4692712,30.559,0.524,False,Likely Distinct
HYD033624,HYD033683,Mojo Pizza,Palleturi Dosa,restaurant,restaurant,Food,Food,17.4484906,78.3588434,17.4484768,78.3591308,30.563,0.167,True,Likely Distinct
HYD032260,HYD034817,Nava Graha Temple,Balaji Stationary Store,place_of_worship,stationery,Religion,Shopping,17.4982716,78.3576931,17.498143520000003,78.3574385,30.569,0.25,False,Likely Distinct
HYD004403,HYD009043,Men collections,Ice - Cream parlor,clothes,ice_cream,Shopping,Food,17.3757692,78.4696927,17.3760285,78.4695973,30.592,0.258,False,Likely Distinct
HYD032598,HYD034053,Temple,laya,place_of_worship,restaurant,Religion,Food,17.39998478,78.53994424,17.399829559999997,78.53970652000001,30.594,0.2,False,Likely Distinct
HYD005483,HYD005515,Ajay mobiles,Electronics Hub,electronics,electronics,Shopping,Shopping,17.4736829,78.569661,17.4737622,78.5693851,30.603,0.222,True,Likely Distinct
HYD005022,HYD035320,Balaji Sweet Shop,Sanjay Super Market,confectionery,supermarket,Food,Shopping,17.3640835,78.5263117,17.3643545,78.5263602,30.604,0.389,False,Likely Distinct
HYD005210,HYD009369,MAC Cosmetics,GVK One,cosmetics,mall,Shopping,Shopping,17.4191845,78.4483205,17.41924682058823,78.44860120882353,30.61,0.3,True,Likely Distinct
HYD008935,HYD009044,Sandys Cottage,Ice Cream Parlour,hotel,ice_cream,Accommodation,Food,17.477148,78.286515,17.477247,78.286246,30.622,0.194,False,Likely Distinct
HYD001601,HYD003750,Crossword,INOX,books,cinema,Shopping,Entertainment,17.4193842,78.4484056,17.4195272,78.4486519,30.622,0.154,False,Likely Distinct
HYD001870,HYD033257,Coffee Tree,Bharateeyam The Indian Cusine,cafe,restaurant,Food,Food,17.4902649,78.3928719,17.4900031,78.3927832,30.628,0.3,True,Likely Distinct
HYD004243,HYD033724,Biba,Pizza Hut,clothes,restaurant,Shopping,Food,17.4346743,78.3866224,17.4346142,78.386904,30.647,0.308,False,Likely Distinct
